Name,SRR26129966,DRR513083
PNW88964,14.009659257758576,211.77375099277612
PNW89007,10.187425185354842,4.4340625333349495
PNW89008,0.0,0.0
PNW87871,0.0,0.0
PNW88663,1504.2587174585528,472.8065058036067
PNW87935,80.38928885025618,669.4952104875641
PNW88719,0.0,0.0
PNW88720,0.0,0.0
PNW89054,141.21070293262565,1067.9897455368093
PNW88445,1980.892006571389,220.69589854687695
PNW88986,72.32227158016954,43.792297378980884
PNW87807,613.6065046382756,244.45324138070657
PNW88379,595.0660257589466,358.80016856262625
PNW88378,22.07204607253356,0.0
PNW88412,14.03176454565458,154.58814694263916
PNW89087,5.179123968351002,7.614822766107816
PNW88665,1.0019614297601414,14.964636722839062
PNW88890,62.235688186008275,162.27950991708047
PNW87944,247.92877839752316,147.38583324943295
PNW88976,7448.237072841373,265.3454272312316
PNW88531,23.045545508333902,232.44834547006946
PNW88118,248.86574045166623,402.3224889287902
PNW88228,11.053595895303976,63.66340553147049
PNW88639,14043.086580479297,4718.693188408334
PNW88721,38.976065281756696,35.01697390463982
PNW88722,0.0,0.0
PNW88450,71.50708815304193,607.1212534867261
PNW88449,5.940072048372197,4.059518343795171
PNW87746,14.718928433416583,143.46777532313928
PNW88263,8.01212556557938,144.7245729108322
PNW88830,0.0,0.0
PNW87919,71.31563549160029,428.91723786568247
PNW87844,474.37685630057973,1252.8249889578904
PNW87843,1465.857052105945,1199.101195360208
PNW88086,804.3915210624804,1200.3482961231932
PNW88642,0.0,0.0
PNW87833,0.0,0.0
PNW87832,120.51236788234421,509.5238167932839
PNW88471,169.89142648962408,1967.6292922284088
PNW87887,157.60027850025418,119.49445685055358
PNW89021,5.015765416815819,24.91141405419518
PNW89093,104.57455023585591,543.8354179357519
PNW87829,0.0,0.0
PNW88777,196.10303850255858,288.21703855933436
PNW88254,9.028213300092093,73.79078557814672
PNW88534,0.0,27.89618506680915
PNW87785,38.14371974957285,10.954122355348485
PNW88324,77.28258473383161,1316.6330314795582
PNW88510,0.0,0.0
PNW88509,1755.0030480601565,963.9135431263583
PNW87979,45.22525527176487,75.59035832684832
PNW88221,156.69540868530052,300.53694290790276
PNW88340,0.0,48.76884506600904
PNW89032,22.00982147119067,5.995064309042656
PNW87890,0.0,128.23103290430208
PNW87780,5.019063533006265,107.54645222851809
PNW87864,217.3590165763733,43.910237731821944
PNW88904,151.9127246748742,96.24317864191747
PNW88248,0.0,48.21444953086718
PNW88249,31.110216667815713,339.2495426290002
PNW88667,127.70397380183027,142.15306410804268
PNW89099,2.2474061743414984,8.994615491949427
PNW88337,1656.6087558085305,1052.9841974198941
PNW88648,454.92183147104953,1225.030704726289
PNW88734,77.02253311978947,34.976687412460464
PNW88863,8.04254012674047,7.954413898499904
PNW89046,11.0441466143723,93.58621493470635
PNW88562,7.0240908044932855,46.81992207985454
PNW87750,6630.906401009874,32.82886063109388
PNW88182,24.858723908318563,80.44082572811227
PNW88834,1861.3932825992424,1873.3031657925494
PNW87892,0.0,0.0
PNW87863,1910.9430529698318,456.7083965372673
PNW88723,0.0,0.0
PNW88724,0.0,0.0
PNW88500,20.113127581673773,50.69231074716197
PNW87862,188.64649419231517,11.219970117361244
PNW88583,31.172411710901837,102.54760892308548
PNW88312,1.0034221884713068,83.67907790955837
PNW88636,1715.1482474945847,469.7322778914126
PNW88366,78.43367301734742,258.4550197535422
PNW88532,36.1588610834113,44.78401475660388
PNW88199,41.22693392222535,437.3977958946065
PNW88852,224.43338112586235,34.9189350754615
PNW89003,0.0,0.9951738278155657
PNW88553,5.025606168617551,36.79604831270962
PNW88261,447.4083436070627,204.2732280908446
PNW88931,10.045905921528618,987.0649524281523
PNW87865,877.290579902738,4573.244755358559
PNW87757,9.039616389641543,3.980828908528768
PNW88745,1.802785745678368,0.9970746718389824
PNW87855,5.008067259739956,81.83594908987288
PNW88710,63.31476148498372,242.68632174709256
PNW88711,0.0,94.50643571839484
PNW88138,2798.1914757738496,4251.079045989383
PNW88226,98.41243804661343,92.77952439335299
PNW88311,9.05249258905535,143.10686315027925
PNW88702,28.99216615208147,224.97895595957476
PNW88853,17.055244721886133,6.974517061561474
PNW88715,10.016961621294438,3.9916718277315186
PNW88758,6.030355601529452,168.081052812379
PNW87782,0.9776534927642401,0.0
PNW87781,317.1484591076373,57.76176552321465
PNW88230,933.3965229427571,696.6857333120078
PNW87752,17.085916224223023,232.72779472804953
PNW88916,38.2209151336468,60.03641005122461
PNW88917,0.0,2.7983889917080034
PNW87954,0.0,48.89276180747474
PNW88287,0.0,0.9996330467772037
PNW88286,0.9999175690896942,0.0
PNW88436,88.35649027838336,475.8777973764327
PNW87861,6821.053109563291,1601.963908739098
PNW88680,1.0047389061053917,60.68819925287195
PNW88028,1.0010062327740266,173.75807893861884
PNW88176,143.5267253712725,855.2591149201104
PNW88177,0.0,0.0
PNW88147,2313.8484358644,237.1959695889227
PNW88951,3.751136512014875,20.98107941192354
PNW88950,42.4916286483468,823.2241317188652
PNW89029,131.3881993706758,1129.0137416295831
PNW88504,17.075208560652573,206.99911189246168
PNW88598,9.986592545478958,67.06647979817303
PNW89070,1366.6921529423594,199.38859244636762
PNW87990,0.0,70.5950449224397
PNW88685,14.06373012002737,51.74309701404052
PNW88714,83.53807173866198,535.3405265264643
PNW88467,2.0077586165448067,6.9700468398658995
PNW88784,35.19076953611229,724.7487835888963
PNW88157,6833.8355648306015,6.983248287784272
PNW88095,0.0,0.0
PNW88096,60.27834715106205,1361.125894193539
PNW88770,0.0,1.3134980351986445
PNW88771,0.0,0.0
