transcript_id,median_expression
PNW88773,0.0
PNW87808,31.472392
PNW88413,27.4758455
PNW88056,13.2694095
PNW88246,4.9152689999999994
PNW88921,4.55696
PNW88862,0.6591119999999999
PNW88977,0.0
PNW88635,7.7927815
PNW88569,0.0
PNW88570,0.0388355
PNW87939,0.8032365
PNW88415,0.4923845
PNW88361,6.29879
PNW88362,2.386681
PNW88394,0.552327
PNW88887,3.4841845
PNW88602,16.4578065
PNW88892,9.7124895
PNW89011,0.582959
PNW88612,13.885355
PNW88539,0.39723
PNW89014,0.498156
PNW88825,3.7555195
PNW87773,0.0446345
PNW88383,20.670254500000002
PNW88983,0.0
PNW88984,2.809953
PNW88816,2.3655595000000003
PNW89069,29.6154725
PNW88210,3.1399335
PNW88818,7.266217
PNW88167,299.482402
PNW88513,2.117689
PNW88180,6.475726
PNW88179,2.15451
PNW88426,6.702756
PNW88934,1.320664
PNW88410,50.067566
PNW88411,4.237610500000001
PNW88634,1.303226
PNW88958,8.473952
PNW87823,4.4833085
PNW87804,0.375892
PNW87803,0.0
PNW87951,8.325494
PNW87952,0.0
PNW88655,0.0
PNW88409,14.5064285
PNW88590,0.2493025
PNW87874,89.112884
PNW88350,1.019079
PNW87778,34.5668115
PNW88474,179.4591795
PNW88673,5.597882
PNW88922,0.5840575
PNW88923,0.265153
PNW89009,112.7894565
PNW88116,0.113252
PNW88117,5.475747
PNW87755,45.356036
PNW88599,0.0
PNW88600,0.5600615
PNW88455,4.3646505
PNW88454,1.5010475
PNW88742,6.762149
PNW87908,0.2833235
PNW87822,0.049729
PNW87848,85.52229650000001
PNW88233,15.3619215
PNW88294,2.2902675
PNW88644,0.233163
PNW88406,0.6632215
PNW88357,0.4369995
PNW87818,7.211386500000001
PNW88633,2.596349
PNW88374,3.1478125
PNW87749,21.3594815
PNW88595,1.037095
PNW88567,44.2372725
PNW87771,4.567749
PNW87866,5.4457525
PNW88345,45.0678225
PNW88363,1.3705280000000002
PNW88960,28.6812655
PNW88658,18.4452635
PNW88832,0.069875
PNW88573,1.4123215
PNW88743,0.1658065
PNW87948,1.8608784999999999
PNW87883,0.0
PNW87809,5.541161499999999
PNW88218,0.42220250000000004
PNW87835,1.3928065
PNW88694,0.4317785
PNW88695,0.0
PNW88696,0.026335
PNW88833,0.6301685
PNW88868,0.1158445
PNW88006,7.7626415
PNW88811,8.3890415
PNW88690,0.163322
PNW88552,2.924269
PNW88971,2.902898
PNW89067,0.2424475
PNW87745,2.0513775
PNW88558,58.315802
PNW89050,2.229158
PNW88755,7.792208499999999
PNW88768,14.751294999999999
PNW87756,38.046761000000004
PNW87937,9.085697999999999
PNW88391,7.7259975
PNW88620,0.46712000000000004
PNW88499,18.237024499999997
PNW88507,0.8395024999999999
PNW87980,4.0043880000000005
PNW88214,6.722313000000001
PNW88684,2.10416
PNW88348,8.220594499999999
PNW87825,2.6870365
PNW88247,0.26343
PNW88462,2.2462590000000002
PNW88093,9.318480500000001
PNW88524,4.5344405
PNW88522,0.12725
PNW88523,0.0
PNW89053,1.0097515
PNW87896,1.1923949999999999
PNW88554,6.9687865
PNW87775,0.0
PNW87774,9.7529555
PNW88708,3.9884895
PNW88313,17.540699
PNW88643,530.649164
PNW89004,7.743813
PNW88769,4.5437465
PNW88260,95.985915
PNW88575,0.479662
PNW88433,52.633686000000004
PNW88521,0.0
PNW88446,69.380236
PNW88844,1.5904835
PNW88106,2.8789949999999997
PNW88032,9.2006065
PNW88676,1.6187575
PNW87859,39.627967999999996
PNW88646,1.0318895000000001
PNW88804,8.039069
PNW88657,0.1597605
PNW87751,0.591391
PNW88022,11.604405
PNW88023,0.0
